Questin,Slug,Collection ID,Item ID,Created On,Updated On,Published On,Unique ID,Answer,Category / categories,Product,Forum,Likes
I have created a new paradigm. Why can’t I see it in the library?,i-have-created-a-new-paradigm-why-cant-i-see-it-in-the-library,63fdd72506354fc9c34bbb9b,6479ea96ebd5a269a1ce59d1,Fri Jun 02 2023 13:11:50 GMT+0000 (Coordinated Universal Time),Wed Jun 21 2023 11:40:25 GMT+0000 (Coordinated Universal Time),Thu Jun 22 2023 11:14:04 GMT+0000 (Coordinated Universal Time),,"<p>Make sure the ‘main’ file name is identical to the name of the paradigm folder, then restart or refresh nordicAktiva (via the red button on the top right).</p>",nordicaktiva,,true,
Is it possible to make event-related paradigms in nordicAktiva? ,is-it-possible-to-make-event-related-paradigms-in-nordicaktiva,63fdd72506354fc9c34bbb9b,647874c8742d956606769cd9,Thu Jun 01 2023 10:36:56 GMT+0000 (Coordinated Universal Time),Wed Jun 21 2023 11:40:43 GMT+0000 (Coordinated Universal Time),Thu Jun 22 2023 11:14:04 GMT+0000 (Coordinated Universal Time),,"<p id="""">Paradigms in nordicAktiva can be made up of blocks, individual trials, or a combination of the two. This means you can create trials which are short ‘events’, with flexible timing, thus making a form of event-related paradigm. For further information and support please consult our <a href=""https://www.nordicneurolab.com/help-all/nordicaktiva"" target=""_blank""><strong id=""""><em id="""">paradigm syntax documentation</em></strong>.</a><br></p><div id=""""></div>",nordicaktiva,,true,
Is the nordicComfortSolution compatible with all types of MRI scanners?,is-the-nordiccomfortsolution-compatible-with-all-types-of-mri-scans,63fdd72506354fc9c34bbb9b,644a2abfed8b6c6b4ec4c73f,Thu Apr 27 2023 07:56:47 GMT+0000 (Coordinated Universal Time),Wed Jun 21 2023 11:41:17 GMT+0000 (Coordinated Universal Time),Thu Jun 22 2023 11:14:04 GMT+0000 (Coordinated Universal Time),,"<p>The nordicComfortSolution is compatible with a wide range of MRI scanners,including 0.55T, 1.5T, 3T, and 7T scanners. <br>It has been tested and approved on scanners from Siemens Healthineers, GE Healthcare, and Philips.</p>",nordiccomfortsolution,nordicComfortSolution,false,
Is the nordicComfortSolution easy to install and maintain?,is-the-nordiccomfortsolution-easy-to-install-and-maintain,63fdd72506354fc9c34bbb9b,644a2a90df3d986ca7baffdc,Thu Apr 27 2023 07:56:00 GMT+0000 (Coordinated Universal Time),Wed Jun 21 2023 11:41:24 GMT+0000 (Coordinated Universal Time),Thu Jun 22 2023 11:14:04 GMT+0000 (Coordinated Universal Time),,"<p id="""">The nordicComfortSolution is designed with easy installation and maintenance in mind. The software is preinstalled on a tablet, which is placed in the control room. The InroomViewingDevice is mounted on a stand, with wheels, and can be rolled into the MRI room. The tablet and the InroomViewingDevice, which provides the patient with the entertainment, are connected via a fiber optic cable that runs through a wave-guide.</p>",nordiccomfortsolution,nordicComfortSolution,false,
Why does nordicAktiva frequently warn that it has lost connection to the SyncBox. Is there a problem with the connection?,nordicaktiva-frequently-warns-that-it-has-lost-connection-to-the-syncbox-is-there-a-problem-with-the-connection,63fdd72506354fc9c34bbb9b,6479eb0e317df49f07019f7f,Fri Jun 02 2023 13:13:50 GMT+0000 (Coordinated Universal Time),Fri Jul 21 2023 09:31:16 GMT+0000 (Coordinated Universal Time),Fri Jul 21 2023 09:31:21 GMT+0000 (Coordinated Universal Time),,"<p id="""">Ensure your Virtual COM Port drivers are up to date. <br>Information on the required drivers is found <a href=""https://ftdichip.com/drivers/vcp-drivers/""><strong id=""""><em id="""">here.</em></strong></a><strong id=""""><em id=""""> </em></strong></p>",nordicaktiva,,true,
The paradigm language I would like to use is not available. What options do I have? ,the-paradigm-language-i-would-like-to-use-is-not-available-what-options-do-i-have,63fdd72506354fc9c34bbb9b,6479ecbf7542de8a506868ff,Fri Jun 02 2023 13:21:03 GMT+0000 (Coordinated Universal Time),Wed Jun 21 2023 11:39:46 GMT+0000 (Coordinated Universal Time),Thu Jun 22 2023 11:14:04 GMT+0000 (Coordinated Universal Time),,"<p id="""">We are constantly updating our library and are interested in your needs regarding language implementations. <br>Please contact us <a href=""mailto:applicationsupport@nordicneurolab.com"">applicationsupport@nordicneurolab.com</a> to make a request or to discuss how you can implement your required language yourself.</p>",nordicaktiva,,true,
The SyncBox doesn’t send the ‘s’ character to the stimulation PC. What should I do? ,the-syncbox-doesnt-send-the-s-character-to-the-stimulation-pc-what-should-i-do,63fdd72506354fc9c34bbb9b,64942dd8aa8922d3d149f602,Thu Jun 22 2023 11:17:44 GMT+0000 (Coordinated Universal Time),Thu Jun 22 2023 11:17:44 GMT+0000 (Coordinated Universal Time),Thu Jun 22 2023 11:17:48 GMT+0000 (Coordinated Universal Time),,"<p>If the connection between the SyncBox and PC is established but the ‘s’ char is not sent, you can factory reset the SyncBox. The factory reset option can be found on the on-screen ‘Option Menu’ of the SyncBox. After resetting the SyncBox, reboot the PC and all the associated hardware including the SyncBox.</p>",syncbox,,true,
What are the pros and cons of DSC and DCE?,what-are-the-pros-and-cons-of-dsc-and-dce,63fdd72506354fc9c34bbb9b,64903ccf7ae068274b0a8165,Mon Jun 19 2023 11:32:31 GMT+0000 (Coordinated Universal Time),Wed Jun 21 2023 11:39:00 GMT+0000 (Coordinated Universal Time),Thu Jun 22 2023 11:14:04 GMT+0000 (Coordinated Universal Time),,"<p>DSC uses T2* based perfusion, while DCE uses T1 based perfusion. While DSC has a higher contrast agent sensitivity and higher temporal resolution, DCE offers better image quality and more linear dose-response. As DCE takes longer than DSC, its acquisition doesn’t always cover the whole brain but instead a few slices are acquired around the tumor to save time.</p>",nordicbrainex,,true,
What can I do if nordicAktiva does not proceed to 'Save results’ after the paradigm finishes?,what-can-i-do-if-nordicaktiva-does-not-proceed-to-save-results-after-the-paradigm-finishes,63fdd72506354fc9c34bbb9b,6479eab548cf9cd1657db061,Fri Jun 02 2023 13:12:21 GMT+0000 (Coordinated Universal Time),Wed Jun 21 2023 11:40:21 GMT+0000 (Coordinated Universal Time),Thu Jun 22 2023 11:14:04 GMT+0000 (Coordinated Universal Time),,"<p>This might sometimes happen when using the ‘Triggers on every block’ option in the Scanner Settings. If you would like to save your results (log and design files) on completion of a paradigm, but nordicAktiva remains on the ‘Run paradigm’ screen, you can manually proceed to the ‘Save results’ screen using the forward arrow.</p>",nordicaktiva,,true,
What can I do if nordicAktiva doesn’t recognize the SyncBox?,what-can-i-do-if-nordicaktiva-doesnt-recognize-the-syncbox,63fdd72506354fc9c34bbb9b,6479eae763f2aac6863bfad5,Fri Jun 02 2023 13:13:11 GMT+0000 (Coordinated Universal Time),Wed Jun 21 2023 11:40:13 GMT+0000 (Coordinated Universal Time),Thu Jun 22 2023 11:14:04 GMT+0000 (Coordinated Universal Time),,"<p id="""">Try the following steps: <br><br>1. Go to Edit/Settings and under the ‘SyncBox’ tab click on ‘Auto detect’. You should then see a message confirming which port the SyncBox is connected to. After confirming this message, you should be able to see the COM port under ‘Serial/USB port’ dropdown menu. Click on ‘Apply’ and ‘Ok’.</p><p id="""">2. If it still doesn’t solve the issue, check the connection between the mini USB port on the side of the SyncBox and the USB port of the PC.</p><p id="""">3. Verify that the SyncBox is listed correctly in the ‘Device Manager’ on Windows. Restart the SyncBox and nordicAktiva PC and re-check the above settings in nordicAktiva.</p><p>‍</p>",nordicaktiva,,true,
What is HID mode and how can I operate the SyncBox in this mode? ,what-is-hid-mode-and-how-can-i-operate-the-syncbox-in-this-mode,63fdd72506354fc9c34bbb9b,64942d7df163c1e42425c566,Thu Jun 22 2023 11:16:13 GMT+0000 (Coordinated Universal Time),Thu Jun 22 2023 11:16:13 GMT+0000 (Coordinated Universal Time),Thu Jun 22 2023 11:17:48 GMT+0000 (Coordinated Universal Time),,"<p>Using the USB cable, SyncBox versions 3.2.0 and older can be recognized by the stimulus presentation PC as a Human Interface Device (HID)/keyboard. The version of the SyncBox can be found on the label underneath. When operating in the HID mode, the SyncBox sends out the letter ‘s’ to the stimulus presentation PC, when a trigger is received from the MR scanner. The ‘HID’ mode needs to be set in the ‘Options menu’ of the SyncBox, but unlike serial mode, no driver is required here.</p>",syncbox,,true,
What is serial mode and how can I set up the SyncBox in this mode? ,what-is-serial-mode-and-how-can-i-set-up-the-syncbox-in-this-mode,63fdd72506354fc9c34bbb9b,64903f86d38d4f4dc06a0ecf,Mon Jun 19 2023 11:44:06 GMT+0000 (Coordinated Universal Time),Tue Jun 27 2023 12:43:01 GMT+0000 (Coordinated Universal Time),Tue Jun 27 2023 12:43:04 GMT+0000 (Coordinated Universal Time),,"<p id="""">Serial communication can be established by connecting the mini-USB port on the side of the SyncBox to a USB port on the stimulus presentation PC, which allows for two-way communication between them. In serial mode, the SyncBox can be completely controlled by the stimulus presentation PC and sends out the ASCII code of the character ‘s’, when it receives a trigger from the scanner. For serial communication, the SyncBox needs to be set to ‘Serial’ using its on-screen ‘Options menu’. In addition, to operate the SyncBox in serial mode via USB, Virtual COM Port drivers need to be installed. Make sure that the updated drivers are installed and verify that the SyncBox is listed correctly in the ‘Device Manager’ on Windows. The latest driver can be downloaded from <a href=""https://ftdichip.com/drivers/vcp-drivers/""><strong id=""""><em id="""">this link.</em></strong></a><br></p>",syncbox,,true,
What is the most effective way to rehearse the task with the patient before the exam?,what-is-the-most-effective-way-to-rehearse-the-task-with-the-patient-before-the-exam,63fdd72506354fc9c34bbb9b,6479ec6750a67460dbe115e3,Fri Jun 02 2023 13:19:35 GMT+0000 (Coordinated Universal Time),Wed Jun 21 2023 11:39:56 GMT+0000 (Coordinated Universal Time),Thu Jun 22 2023 11:14:04 GMT+0000 (Coordinated Universal Time),,"<p id="""">You can sit with the patient and use nordicAktiva in ‘Preview without SyncBox’ mode.<br>Run through a few slides of the first active block with them and ask them to perform the task overtly with you. <br><br>Alternatively, the <strong><em>‘</em></strong><a href=""https://www.nordicneurolab.com/help-all/nordicaktiva"" id=""""><strong><em>fMRI Task Instructions</em></strong></a><strong><em>’</em></strong> document can be used as a guide to sit and explain what the patient can expect. </p><p id="""">In either situation, you should ask the patient to rehearse by either showing you the relevant movement they are required to do or giving responses to examples of the language tasks out loud.</p><p id="""">‍</p><p id="""">‍</p><p id="""">‍</p><p id="""">‍</p>",nordicaktiva,,true,
What other software applications can I use with the VisualSystemHD goggles? ,what-other-software-applications-can-i-use-with-the-visualsystemhd-goggles,63fdd72506354fc9c34bbb9b,649041b68e805fe36dc16a2b,Mon Jun 19 2023 11:53:26 GMT+0000 (Coordinated Universal Time),Wed Jun 21 2023 11:36:39 GMT+0000 (Coordinated Universal Time),Thu Jun 22 2023 11:14:04 GMT+0000 (Coordinated Universal Time),,"<p id="""">Different software packages can be used with our VisualSystemHD goggles such as PsychoPy, Psychtoolbox, Stereoscopic Player or Unity. Guidance documentation can be found<strong><em> </em></strong><a href=""https://www.nordicneurolab.com/resources#user-guides"" id=""""><strong><em>here</em></strong></a><strong><em>, </em></strong>and is constantly being expanded and updated. If you are interested in specific software for which a guide is not available on our website, please contact us at <a href=""mailto:applicationsupport@nordicneurolab.com"" target=""_blank"" id="""">applicationsupport@nordicneurolab.com</a>.</p>",visualsystemhd,,true,
What types of entertainment options are available on the nordicComfortSolution?,what-types-of-entertainment-options-are-available-on-the-nordiccomfortsolution,63fdd72506354fc9c34bbb9b,644a2944225ef89de20cd9bd,Thu Apr 27 2023 07:50:28 GMT+0000 (Coordinated Universal Time),Wed Jun 21 2023 11:41:36 GMT+0000 (Coordinated Universal Time),Thu Jun 22 2023 11:14:04 GMT+0000 (Coordinated Universal Time),,"<p id="""">The nordicComfortSolution includes a wide range of entertainment options, including relaxing movies, music, opportunity to add streaming platforms, and more. Patients can choose from avariety of options to find the ones that best suit their preferences and needs.</p>",nordiccomfortsolution,nordicComfortSolution,false,
What is the nordicComfortSolution?,whatisthenordiccomfortsolution,63fdd72506354fc9c34bbb9b,63fdd742bb779cacb776e0d4,Tue Feb 28 2023 10:28:18 GMT+0000 (Coordinated Universal Time),Wed Jun 21 2023 11:41:47 GMT+0000 (Coordinated Universal Time),Thu Jun 22 2023 11:14:04 GMT+0000 (Coordinated Universal Time),,"<p id="""">The nordicComfortSolution is a patient entertainment system developed by NordicNeuroLab to improve the patient experience during MRI scans. The system provides a variety of entertainment options, such as movies, and music, which can help distract patients and reduce anxiety during the scanning process.</p>",nordiccomfortsolution,nordicComfortSolution,false,
Which MR head coils can be used with the VisualSystem HD?,which-mr-head-coils-can-be-used-with-the-visualsystem-hd,63fdd72506354fc9c34bbb9b,64904250943d12083b116a62,Mon Jun 19 2023 11:56:00 GMT+0000 (Coordinated Universal Time),Wed Jun 21 2023 11:36:29 GMT+0000 (Coordinated Universal Time),Thu Jun 22 2023 11:14:04 GMT+0000 (Coordinated Universal Time),,"<p>We have different adapters available to make it possible for the VisualSystem HD to be mounted on a variety of MR head coils. Feel free to get in touch with us at <a href=""mailto:applicationsupport@nordicneurolab.com"" target=""_blank"" id="""">applicationsupport@nordicneurolab.com</a>, if you need more information for your setup.</p>",visualsystemhd,,true,
Why can’t my computer detect the nordicBrainEx network license?,why-cant-my-computer-detect-the-nordicbrainex-network-license,63fdd72506354fc9c34bbb9b,64903c9e377c4f25b1f0c4cd,Mon Jun 19 2023 11:31:42 GMT+0000 (Coordinated Universal Time),Wed Jun 21 2023 11:39:10 GMT+0000 (Coordinated Universal Time),Thu Jun 22 2023 11:14:04 GMT+0000 (Coordinated Universal Time),,"<p id="""">First check that both computers are on the same network. Then follow the steps below on your computer, i.e., the computer which does not have the license key connected to it. </p><ol start="""" id=""""><li id="""">Open License Admin Control Center. </li><li id="""">Click on Sentinel Keys in the top left. </li></ol><ul><li>This page shows all the NNL licenses this computer has access to. </li><li>Check if you do see a license listed here with an ID that has less than 12 digits. The 12 digits (or longer) are demo licenses installed when the software was first installed. </li><li>If you do not see your license, continue to step 3. </li></ul><ol start=""3"" id=""""><li id="""">Click on 'Configuration'. </li></ol><ol start=""4"" id=""""><li id="""">Select 'Access to remote License Managers'. </li></ol><ol start=""5"" id=""""><li id="""">Make sure the following are all checked: </li></ol><ul><li>Allow Access to Remote Licenses </li><li>Broadcast Search for Remote Licenses </li><li>Aggressive Search for Remote Licenses</li></ul><ol start=""6"" id=""""><li id="""">In the field next to 'Remote License Search Parameters' enter in the IP address of the computer that has the license key physically connected to it. </li></ol><ol start=""7"" id=""""><li id="""">Click Submit. It may take a few minutes before it finds the license key. Check back under Sentinel Keys. </li></ol><p id="""">‍</p>",nordicbrainex,,true,
Why do I not see any image on the LCD monitor?,why-do-i-not-see-any-image-on-the-lcd-monitor,63fdd72506354fc9c34bbb9b,64903fb067b14ba333545f92,Mon Jun 19 2023 11:44:48 GMT+0000 (Coordinated Universal Time),Wed Jun 21 2023 11:38:03 GMT+0000 (Coordinated Universal Time),Thu Jun 22 2023 11:14:04 GMT+0000 (Coordinated Universal Time),,"<p>First check your computer ‘Display settings’. If the LCD monitor is recognized, you should be able to see two monitors under ‘System/Display’, one for the stimulation PC and one for the LCD. You can click on ‘Identify’ to check the allocated number for each display. If you still don’t see any image on the LCD monitor, check the video and power cables to the LCD, power supply (LPS), fiber transmitter (usually placed under the desk in the control room), and nordicAktiva PC (HDMI output), and make sure that they are correctly connected. On the fiber transmitter, both green LED (power) and blue LED (fiber/data) should be on.</p>",inroomviewingdevice,,true,
Why do I see an ‘Out of Memory’ warning in nordicBrainEx?,why-do-i-see-an-out-of-memory-warning-in-nordicbrainex,63fdd72506354fc9c34bbb9b,64903b38a64eb3e511b9379c,Mon Jun 19 2023 11:25:44 GMT+0000 (Coordinated Universal Time),Wed Jun 21 2023 11:39:19 GMT+0000 (Coordinated Universal Time),Thu Jun 22 2023 11:14:04 GMT+0000 (Coordinated Universal Time),,"<p>The software is a 32-bit application. If your underlying structural data has a high in-plane resolution, the maps used as overlays may be significantly up-sampled, which can cause memory issues.Under ‘Settings’, select ’Limit displayed resolution in MPR’ to downsample your underlay image to a lower resolution. <br><br>If the problem remains, try loading fewer image series at one time. It may also help to limit the number of BOLD overlays that are visualized at the same time, if they are of a particularly high resolution or remove any derived data once they are saved into the database.</p>",nordicbrainex,,true,
Why does my paradigm not appear to synchronize with BOLD acquisition?,why-does-my-paradigm-not-appear-to-synchronize-with-bold-acquisition,63fdd72506354fc9c34bbb9b,6479ea7f63f2aac6863b73c1,Fri Jun 02 2023 13:11:27 GMT+0000 (Coordinated Universal Time),Wed Jun 21 2023 11:40:29 GMT+0000 (Coordinated Universal Time),Thu Jun 22 2023 11:14:04 GMT+0000 (Coordinated Universal Time),,"<p id="""">There may be a few reasons.</p><p id="""">· If your paradigm is starting of its own accord before the scan starts, ensure the Run Mode (Edit menu) is set to Synchronize.</p><p id="""">· If the paradigm is stuck on the ‘Starting soon’ slide, ensure that your scanner is giving out a trigger signal at the start of data acquisition.</p><p id="""">· For Philips scanners, the ‘Sync. Ext. Trig’ option needs to be enabled within the BOLD protocol.</p><p id="""">· The scanner will complete a number of dummy scans prior to starting the acquisition of images. It may then appear as though the paradigm is not starting at the start of the scan; however, you should see that once your first real measurement is being acquired, the paradigm starts.</p><p>‍</p>",nordicaktiva,,true,
Why does nordicAktiva not see the LCD monitor?,why-does-nordicaktiva-not-see-the-lcd-monitor,63fdd72506354fc9c34bbb9b,6479ebc1f710bbb26c3c544f,Fri Jun 02 2023 13:16:49 GMT+0000 (Coordinated Universal Time),Wed Jun 21 2023 11:40:01 GMT+0000 (Coordinated Universal Time),Thu Jun 22 2023 11:14:04 GMT+0000 (Coordinated Universal Time),,"<p id="""">Try the following steps:</p><p id="""">1. Go to Edit/Settings and under the ‘Displays’ tab and select the correct patient display. The patient display is usually the number ‘2’.</p><p id="""">2. If you don’t see ‘2’ in the dropdown menu, go to Windows ‘Display settings’ and check if it shows the second monitor. You can check the numbering of the monitors by clicking on ‘Identify’, where a number is allocated to each connected monitor.</p><p id="""">3. If you don’t see the second monitor, make sure the LCD power supply in the MR room is on and all the connections are in place. This includes the HDMI connection between the nordicAktiva PC and the Fiber Transmitter as well as the connection between the power supply and the LCD monitor.</p><p>‍</p>",nordicaktiva,,true,
Why does the video feed from the LCD camera look blurry or pixelated in nordicComfortPlayer?,why-does-the-video-feed-from-the-lcd-camera-look-blurry-or-pixelated-in-nordiccomfortplayer,63fdd72506354fc9c34bbb9b,649040ba67b14ba3335553f0,Mon Jun 19 2023 11:49:14 GMT+0000 (Coordinated Universal Time),Wed Jun 21 2023 11:37:16 GMT+0000 (Coordinated Universal Time),Thu Jun 22 2023 11:14:04 GMT+0000 (Coordinated Universal Time),,"<p>This could be due to data accumulation along the route from the camera to the Fiber Transmitter (usually placed under the desk in the control room) and back to the PC, where nordicComfortPlayer is installed. Close the nordicComfortPlayer, and then disconnect and reconnect the power supply on the Fiber Transmitter. Wait a few seconds and then open the nordicComfortPlayer again. This should solve the issue.</p>",nordiccomfortsolution,,true,
Why is playback of my slides not as I expect?,why-is-playback-of-my-slides-not-as-i-expect,63fdd72506354fc9c34bbb9b,6479ec98dd41c01a8d0a27b9,Fri Jun 02 2023 13:20:24 GMT+0000 (Coordinated Universal Time),Wed Jun 21 2023 11:39:50 GMT+0000 (Coordinated Universal Time),Thu Jun 22 2023 11:14:04 GMT+0000 (Coordinated Universal Time),,"<p>If your paradigm includes large audio or video files, there are limitations which can cause some unpredictable behavior. There may be a number of solutions depending on the content. One potential solution is to create and load a long video or audio file for the entire paradigm instead of using multiple video or audio files. For further assistance, please contact our application scientists at <a href=""mailto:applicationsupport@nordicneurolab.com"">applicationsupport@nordicneurolab.com</a>.</p>",nordicaktiva,,true,
